City,Temperature (F),Humidity (%),Cloud Coverage (%),Wind Speed (mph),Latitude,Longitude
Rikitea,76.98,85,100,11.01,-23.12,-134.97
Dongsheng,48.27,45,0,23.53,39.82,109.98
Ushuaia,41.0,80,75,5.3,-54.8,-68.3
Ust-Maya,61.45,44,4,4.45,60.42,134.53
Nanortalik,40.14,81,100,6.33,60.14,-45.24
Yellowknife,32.0,74,75,19.46,62.46,-114.35
Bluff,52.93,77,51,8.63,-46.6,168.33
San Cristobal,67.68,85,100,3.2,7.77,-72.22
Yumen,71.4,19,99,19.46,40.28,97.2
Perth,56.21,76,100,8.05,-31.93,115.83
Vaini,78.8,74,75,6.93,-21.2,-175.2
Yerbogachën,49.89,62,7,4.21,61.28,108.01
Provideniya,42.22,62,100,5.46,64.38,-173.3
Grand Gaube,72.0,83,0,1.99,-20.01,57.66
Port Hedland,73.4,11,28,13.87,-20.32,118.57
Fortuna,60.35,87,90,12.75,40.6,-124.16
Gwadar,81.59,80,0,6.73,25.12,62.33
Tuktoyaktuk,26.6,86,90,14.99,69.45,-133.04
Cabedelo,77.0,100,75,4.7,-6.98,-34.83
Oloron-Sainte-Marie,54.46,87,40,6.93,43.19,-0.61
Santa Maria,55.18,79,0,4.09,-29.68,-53.81
Hermanus,55.0,80,0,2.98,-34.42,19.23
Podporozh'ye,34.41,95,64,6.2,60.91,34.17
Jalu,78.31,26,0,8.61,29.03,21.55
Bambous Virieux,72.0,83,4,1.99,-20.34,57.76
Torbay,30.69,92,75,3.36,47.67,-52.73
Jiuquan,72.09,18,0,14.38,39.74,98.52
Punta Arenas,41.0,86,75,16.11,-53.15,-70.92
Cape Town,46.4,100,5,2.24,-33.93,18.42
Kapaa,80.26,74,40,11.41,22.08,-159.32
Cherskiy,53.29,40,0,10.69,68.75,161.3
Ilulissat,30.2,100,0,3.36,69.22,-51.1
Camopi,74.43,97,100,3.11,3.17,-52.32
Roald,37.4,86,100,25.28,62.58,6.13
Phek,61.59,97,15,1.07,25.67,94.5
Bathurst,56.34,83,0,1.01,-33.42,149.58
Kaitangata,53.73,62,0,3.31,-46.28,169.85
Barrow,26.6,79,90,11.41,71.29,-156.79
Qaanaaq,25.21,91,0,1.39,77.48,-69.36
Broome,57.56,58,1,9.17,42.25,-75.83
